prgrm_type,prgrm_name,total_credits,major_credits,UL_total_credits,UL_major_credits,total_GPA,major_GPA,stream1,stream2,stream3,stream4,stream5,2023,2024,2025,2026
Major,English Honours,134,60,54,36,3.00,3.50,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-english-honours-merged.pdf,,,
Major,English,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-english-major-merged.pdf,,,
Major,Environmental Studies (BA),122,79,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-environmental-studies-ba-merged.pdf,,,
Major,Geography,122,45,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-geography-major-merged.pdf,,,
Major,History Honours,134,48,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-history-honours-merged.pdf,,,
Major,International Studies Honours,134,69,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-international-studies-honours-international-affairs-global-policy-merged_0.pdf  ; https://www.twu.ca/sites/default/files/2023-05/2023-24-international-studies-honours-international-development-cultural-change-merged.pdf  ; https://www.twu.ca/sites/default/files/2023-05/2023-24-International%20Studies%20Honours%20International%20Political%20Economy-merged.pdf,,,
Major,Political Studies Honours,134,54,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Political-Studies-Honours-merged.pdf,,,
Major,History,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-09/2023-24-history-major-merged.pdf,,,
Major,International Studies,122,57,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-international-studies-major-international-affairs-global-policy-merged_0.pdf  ; https://www.twu.ca/sites/default/files/2023-05/2023-24-international-studies-major-international-development-cultural-change-merged.pdf  ; https://www.twu.ca/sites/default/files/2023-05/2023-24-International-Studies-Major-International-Political-Economy-merged.pdf,,,
Major,Political Studies,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Political-Studies-Major-merged.pdf,,,
Major,Political Studies with Human Services,122,72,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Political-Studies-Major-with-Human-Services-Certficate-merged.pdf,,,
Major,Applied Linguistics,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-09/2023-24-applied-linguistics-major-merged.pdf,,,
Major,Philosophy Honours,134,54,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-philosophy-honours-merged.pdf,,,
Major,Philosophy,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-philosophy-major-merged.pdf,,,
Major,Psychology Honours,134,60,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-psychology-honours-merged.pdf,,,
Major,Psychology Honours with Human Services,134,90,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-psychology-honours-with-human-services-certificate-merged.pdf,,,
Major,Psychology,122,45,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-psychology-major-merged.pdf,,,
Major,Psychology with Human Services,122,75,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-psychology-major-with-human-services-certificate-merged.pdf,,,
Major,Sociology,122,54,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Sociology-Major-merged.pdf,,,
Major,Sociology with Human Services,122,66,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Sociology-Major-with-Human-Services-Certificate-merged.pdf,,,
Major,Biblical Studies Honours,134,54,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Biblical-Studies-Honours-merged.pdf,,,
Major,Biblical Studies,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-biblical-studies-major-merged.pdf,,,
Major,Theology,122,42,42,24,2.00,2.00,,,,,,,,,
Major,Intercultural Religious Studies,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-intercultural-religious-studies-major-merged.pdf,,,
Major,General Studies (BA),122,48-60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-General-Studies-BA_1.pdf,,,
Major,Humanities,122,60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-humanities-major_0.pdf,,,
Major,Social Sciences,122,48-60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-Social-Science-Major-merged.pdf,,,
Major,Social Sciences with Human Services,122,54,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-social-science-major-with-human-services-certificate-merged.pdf,,,
Major,Biology Honours,134,See Streams,54,36,3.00,3.00,General (56),Cell&Dev (56),Ecology (56),Biochem (50),,https://www.twu.ca/sites/default/files/2023-06/2023-24-biology-honours-cell-developmental-biology-emphasis-merged.pdf ; https://www.twu.ca/sites/default/files/2023-06/2023-24-biology-honours-biochemistry-merged.pdf ; https://www.twu.ca/sites/default/files/2023-08/2023-24-biology-honours-ecology-merged.pdf ; https://www.twu.ca/sites/default/files/2023-08/2023-24-biology-major-general-program-merged.pdf,,,
Major,Biology,122,42,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-08/2023-24-biology-major-merged.pdf,,,
Major,Chemistry Honours,134,56,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-chemistry-honours-merged.pdf,,,
